index,age,brand,calory,category,classification,content,detail,from_company,gram,img,info,ingredient,nutrient,title,성분등록번호
0,"어덜트,시니어",보레알 (BOREAL),"1,050 kcal/kg",고양이,습식 사료,"치킨, 치킨 육수, 치킨 간, 완두콩, 강낭콩, 계란, 레시틴, 탄산칼슘, 아마씨, 콜린클로라이드, 생선오일, 일인산나트륨, 식물성오일, 소금, DL-메티오닌, 유카시데게라추출물, 완두콩섬유질, 블루베리, 블랙베리, 사과, 석류, 크랜베리, 타우린, L-아스코르빌-2-폴리포스페이트(비타민C의 공급원), 아연아미노산복합체, 비타민E, 황산제일철, 철아미노산복합체, 황산아연, 니아신, 티아민모노나이트레이트, 구리프로테인산염, 비타민A, 센렌산나트륨, 황산망간, 망간아미노산복합체, D-칼슘판토테네이트, 피리독신염산염, 리보플라빈, 비오틴, 비타민D3, 비타민B12, 요오드산칼슘, 엽산.","연령구분 어덜트,시니어 푸드타입 습식 사료 중량 80g, 156g 주재료 치킨, 치킨육수, 치킨간 식단정보 검류미함유,그레인프리,글루텐프리 칼로리 1,050 kcal/kg 원산지/제조사 캐나다/Boreal Pet Foods.",캐나다/Boreal Pet Foods.,"80g, 156g",https://cdn.purplesto.re/media/store/sale/main_image/boreal_cat_B050CF07_thumb01.png,"검류미함유,그레인프리,글루텐프리","치킨, 치킨육수, 치킨간",조단백 7.2%  조지방 6.3%  칼슘 0.2%  인 0.18%  수분 85%,주식캔 치킨&치킨간,제 CCBZZ0008호
1,"어덜트,시니어",고! (GO!),"4,222 kcal/kg",고양이,건사료,"오리, 완두콩, 타피오카, 렌즈콩, 병아리콩, 타우린, 비타민합제(비타민A, D3, E, C 등), 미량광물질류합제(아연, 철, 구리 등)","연령구분 어덜트,시니어 푸드타입 건사료 중량 7.2kg 주재료 오리, 완두콩, 타피오카 식단정보 단일육류단백질,그레인프리,글루텐프리 칼로리 4,222 kcal/kg 원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,7.2kg,https://cdn.purplesto.re/media/store/sale/main_image/go_cat_B010CF03_thumb01.png,"단일육류단백질,그레인프리,글루텐프리","오리, 완두콩, 타피오카",조단백 31.0%  조지방 15.0%  칼슘 1.0%  인 0.8%  수분 10.0%,그레인프리 LID 오리,제 서울-19594호
2,"키튼,어덜트,시니어,전연령",보레알 (BOREAL),"1,050 kcal/kg",고양이,습식 사료,"칠면조, 칠면조육수, 송어, 연어오일, 계란, 완두콩, 렌틸콩, 인산이칼슘, 호로파씨앗, 탄산칼슘, 소금, 아마씨, 레시틴, 염화콜린, 염화칼륨, 유카시데게라, 완두콩섬유질, 타우린, L-아스코르빌-2-폴리포스페이트(비타민C의 공급원), 아연아미노산복합체, 비타민E, 황산제일철, 철아미노산복합체, 황산아연, 니아신, 티아민모노나이트레이트, 구리프로테인산염, 비타민A, 셀렌산나트륨, 황산망간, 망간아미노산복합체, D-칼슘판토테네이트, 피리독신염산염, 리보플라빈, 비오틴, 비타민D3, 비타민B12, 요오드산칼슘, 엽산.","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식 사료 중량 80g 주재료 칠면조, 칠면조육수, 송어 식단정보 검류미함유,그레인프리,글루텐프리 칼로리 1,050 kcal/kg 원산지/제조사 캐나다/Boreal Pet Foods.",캐나다/Boreal Pet Foods.,80g,https://cdn.purplesto.re/media/store/sale/main_image/deal_boreal_cat_B050CF1302SS_thumb01.png,"검류미함유,그레인프리,글루텐프리","칠면조, 칠면조육수, 송어",조단백 8%  조지방 7.5%  칼슘 0.44%  인 0.41%  수분 78%,주식캔 칠면조&송어,제 서울-19209호
3,"어덜트,시니어",고! (GO!),"4,232 kcal/kg ",고양이,건사료,"볼락, 통건조계란, 완두콩, 타피오카, 렌틸콩, 병아리콩, 카놀라오일, 코코넛오일, 천연착향료, 염화콜린, 염화칼륨, 인산, 건조치커리뿌리, 염화나트륨, 비타민합제(비타민A, 비타민D3, 비타민E, 나이아신, 이노시톨, L-아스크로빌-2-폴리포스페이트(비타민C의 공급), 질산티아민, d-판토텐산 칼륨, 리보플라빈, 염산피리독신, 베타카로틴, 엽산, 비오틴, 비타민B12), 미량광물질류합제(아연, 철, 구리, 마그네슘, 황산구리, 요오드산칼슘, 황산제일철, 산화망간, 셀레늄효모), 건조락토바실러스아시도필러스발효제품, 건조엔테로코커스 패시엄 발효제품, 타우린, DL-메티오닌, L-리진, 건조로즈마리","연령구분 어덜트,시니어 푸드타입 건사료 중량 3.6kg 주재료 볼락, 통건조계란, 완두콩 식단정보 단일육류단백질,그레인프리,글루텐프리 칼로리 4,232 kcal/kg  원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,3.6kg,https://cdn.purplesto.re/media/store/sale/main_image/go_cat_B010CF04_thumb01.png,"단일육류단백질,그레인프리,글루텐프리","볼락, 통건조계란, 완두콩",조단백 30.0%  조지방 15.0%  칼슘 1.0%  인 0.8%  수분 10.0%,그레인프리 LID 폴록,제 서울-19594호
4,"키튼,어덜트,시니어,전연령",알모네이쳐 (ALMO NATURE),972 kcal/kg (53 kcal/파우치),고양이,습식간식,"가다랑어살(91%), 정제수(7.5%), 쌀(1.5%)","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 55g 주재료 가다랑어살, 정제수, 쌀 식단정보 단일육류단백질,글루텐프리,비유전자변형 칼로리 972 kcal/kg (53 kcal/파우치) 원산지/제조사 태국/Songkla Canning Public Co.Ltd",태국/Songkla Canning Public Co.Ltd,55g,https://cdn.purplesto.re/media/store/sale/main_image/deal_almonature_cat_B131CT0602SS_thumb01.png,"단일육류단백질,글루텐프리,비유전자변형","가다랑어살, 정제수, 쌀",조단백 22.1%  조지방 2.2%  조섬유 0.012%  조회분 2.9%  수분 80.6% ,HFC 내츄럴플러스 파우치 가다랑어,서울-24148호
5,"키튼,어덜트,시니어,전연령",어플라우즈 (APPLAWS),100 kcal/kg (4 kcal/소분팩),고양이,토퍼(부스터),"정제수, 닭가슴살, 카라기닌  ","연령구분 키튼,어덜트,시니어,전연령 푸드타입 토퍼(부스터) 중량 120g 주재료 정제수, 닭가슴살, 카라기닌   식단정보 그레인프리,글루텐프리 칼로리 100 kcal/kg (4 kcal/소분팩) 원산지/제조사 태국/MPM Products",태국/MPM Products,120g,https://cdn.purplesto.re/media/store/sale/main_image/deal_applaws_cat_B004CT1236ss_thumb01.png,"그레인프리,글루텐프리","정제수, 닭가슴살, 카라기닌  ",조단백 6.5% 조지방 0.1% 조섬유 0.5% 조회분 1.0% 수분 94.0%,토퍼 닭고기스프에 닭가슴살,제 서울-17913호
6,"어덜트,시니어",앱솔루트 홀리스틱 (ABSOLUTE HOLISTIC),"4,353 kcal/kg",고양이,저온건조 사료,"소고기, 소 간, 소 폐, 사슴고기, 식물성 글리세린, 파슬리, 건조 치커리, 초록입홍합, 염화콜린, 탄산칼슘, 켈프, 아마씨, 천연항산화제(천연혼합토코페롤, 로즈마리 추출물), 타우린, 황산제일철, 산화아연, 비타민E, 나이아신, 황산구리, 비타민B1, 아셀렌산나트륨, 황산망간, D-판토텐산칼슘, 비타민A 분말(레티놀분말), 비타민B2(리보플라빈), 비오틴, 비타민B6염산염(피리독신 염산염), 비타민B12(시아노토발라민), 요오드산 칼슘, 엽산, 비타민D3(콜레칼시페롤)","연령구분 어덜트,시니어 푸드타입 저온건조 사료 중량 50g 주재료 소고기, 소 간, 소 폐 식단정보 그레인프리,글루텐프리 칼로리 4,353 kcal/kg 원산지/제조사 뉴질랜드/Absolute Pets International Pte, Ltd.","뉴질랜드/Absolute Pets International Pte, Ltd.",50g,https://cdn.purplesto.re/media/store/sale/main_image/deal_absoluteholistic_cat_B103CF0503SS_thumb01.png,"그레인프리,글루텐프리","소고기, 소 간, 소 폐",조단백 30%  조지방 25%  칼슘 1%  인 0.5%  수분 19%,에어드라이 소고기&사슴고기,제 II6TM0009호
7,"어덜트,시니어",닥터링크 (DR.LINK),760 kcal/kg (152kcal/캔),고양이,습식사료,"칠면조(심장, 간, 위), 육수(가금류), 당근, 미네랄(아연, 망간, 일수화물), 이눌린, 탄산칼슘, 타피오카 4%(최대)  * 1kg당 영양보충제 함량: 비타민 D3 200IU, 비타민 E(모두 rac-알파-토코페릴 아세테이트) 20mg, 비타민 B1 10mg, 비타민 B2 6mg, 비타민 B6 2mg, 비타민 B12 75μg, 엽산 0.35mg, 비오틴 300μg, 염화콜린 1,200mg, 아연(황산아연, 일수화물) 25mg, 망간(망간-(II)-황산염, 일수화물) 1.4mg, 요오드(요오드산 칼슘, 무수) 0.75mg, 타우린 1,500mg","연령구분 어덜트,시니어 푸드타입 습식사료 중량 200g 주재료 칠면조, 육수(가금류), 당근 식단정보 단일육류단백질,그레인프리,글루텐프리 칼로리 760 kcal/kg (152kcal/캔) 원산지/제조사 독일/Landguth Heimtiernahrung GmbH",독일/Landguth Heimtiernahrung GmbH,200g,https://cdn.purplesto.re/media/store/sale/main_image/deal_drlink_cat_B107CF0102SS_thumb01.png,"단일육류단백질,그레인프리,글루텐프리","칠면조, 육수(가금류), 당근",조단백 10.3%  조지방 2.9%  칼슘 0.25%  인 0.15%  수분 81%,주식캔 no.2 스페셜 다이어트 칠면조,
8,"어덜트,시니어",노스웨스트 (NORTHWEST NATURALS),"3,807 kcal/kg",고양이,동결건조 사료,"치킨, 치킨간, 계란, 켈프, 연어오일, 타우린","연령구분 어덜트,시니어 푸드타입 동결건조 사료 중량 311g 주재료 치킨, 치킨간, 계란 식단정보 그레인프리,글루텐프리,비유전자변형 칼로리 3,807 kcal/kg 원산지/제조사 미국/North West Naturals",미국/North West Naturals,311g,https://cdn.purplesto.re/media/store/sale/main_image/northwest_cat_B014CF08_thumb01.png,"그레인프리,글루텐프리,비유전자변형","치킨, 치킨간, 계란",조단백 45.0%  조지방 15.0%  칼슘 1.7%  인 1.3%  수분 5.0%,내추럴 동결건조 닭고기,제 GGHA50228호
9,"키튼,어덜트,시니어,전연령",어플라우즈 (APPLAWS),724 kcal/kg (50.6 kcal/캔),고양이,습식간식,"참치순살, 참치육수","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 70g 주재료 참치순살, 참치육수 식단정보 검류미함유,그레인프리,글루텐프리 칼로리 724 kcal/kg (50.6 kcal/캔) 원산지/제조사 태국/MPM Products",태국/MPM Products,70g,https://cdn.purplesto.re/media/store/sale/main_image/applaws_cat_B004CT45_thumb01.png,"검류미함유,그레인프리,글루텐프리","참치순살, 참치육수",조단백 18.0% 조지방 5.0%,습식캔 그레인프리 참치,제 서울 25132호
10,"어덜트,시니어",베츠키친 (VET'S KITCHEN),"3,710 kcal/kg  ",고양이,건사료,"신선한 연어(60%), 건조 연어 (18%), 흰쌀, 사탕무박, 맥주 효모, 루서린(비타민K), 연어육즙 (2%), 치커리, 파슬리 (0.5%), 미네랄, 비타민, 민들레 (0.1%)","연령구분 어덜트,시니어 푸드타입 건사료 중량 110g 주재료 신선한 연어, 건조 연어, 흰쌀 식단정보 단일육류단백질 칼로리 3,710 kcal/kg   원산지/제조사 영국/Pet's Kitchen Ltd.",영국/Pet's Kitchen Ltd.,110g,https://cdn.purplesto.re/media/store/sale/main_image/vetskitchen_cat_B022CF02_thumb01.png,단일육류단백질,"신선한 연어, 건조 연어, 흰쌀",조단백 35.0%  조지방 14.0%  칼슘 0.95%  인 0.63%  수분 9.0%,어덜트 울트라 프레쉬 연어,제 서울-20766호
11,"키튼,어덜트,시니어,전연령",로투스 (LOTUS),"1,050 kcal/kg (85.9 kcal/캔)",고양이,습식사료,"닭고기 스프, 닭고기, 닭 간, 오션피쉬, 완두콩, 천연 닭 간 맛, 우뭇가사리,당근,아스파 라거스, 크랜베리, 블루베리, 통아마씨, 뉴질랜드 녹색 입 홍합, 달걀, 조개, 연어오일, 올리브 오일, 인산삼석회, 바다소금, 다시마, 염화 칼륨, 트리폴리인산소다, 황산칼슘, 염화콜린, 베타인, 아연, 철, 니아신, 비타민E, 티아민, 구리, 망간, 셀레늄, 판토텐산칼슘, 비타민 A, 리보플라빈, 피리독신, 비오틴, 비타민 B12, 칼슘, 요오드, 비타민 D3, 엽산","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식사료 중량 78g 주재료 닭고기 스프, 닭고기, 닭 간 식단정보 그레인프리,글루텐프리,비유전자변형 칼로리 1,050 kcal/kg (85.9 kcal/캔) 원산지/제조사 미국/Lotus Pet Foods",미국/Lotus Pet Foods,78g,https://cdn.purplesto.re/media/store/sale/main_image/deal_lotus_cat_B020CF1602SS_thumb01_xwEWlCz.png,"그레인프리,글루텐프리,비유전자변형","닭고기 스프, 닭고기, 닭 간",조단백 10.24%  조지방 5.77%  칼슘 0.37%  인 0.29%  수분 75.33%,주식캔 그레인프리 치킨&야채 파테,제 II6TM0009호
12,"키튼,어덜트,시니어,전연령",알모네이쳐 (ALMO NATURE),948 kcal/kg (66 kcal/캔),고양이,습식간식,"참치살(55%), 정제수(24%), 새우(20%), 쌀(1%)","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 70g 주재료 참치살, 정제수, 새우 식단정보 글루텐프리,비유전자변형 칼로리 948 kcal/kg (66 kcal/캔) 원산지/제조사 태국/HI-Q FOOD PRODUCTS CO.LTD",태국/HI-Q FOOD PRODUCTS CO.LTD,70g,https://cdn.purplesto.re/media/store/sale/main_image/almonature_cat_B131CT12_thumb01.png,"글루텐프리,비유전자변형","참치살, 정제수, 새우",조단백 12.0%  조지방 0.5%  조섬유 0.1%  조회분 1.8%  수분 77.0% ,HFC 내츄럴 캔 참치와 새우,서울-18781호
13,"키튼,어덜트,시니어,전연령",쉐지애 (SCHESIR),760 kcal/kg,고양이,습식간식,"닭고기, 사과, 쌀, 수분","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 75g 주재료 닭고기, 사과, 쌀 식단정보 - 칼로리 760 kcal/kg 원산지/제조사 태국/Agras Delic S.p.a.",태국/Agras Delic S.p.a.,75g,https://cdn.purplesto.re/media/store/sale/main_image/schesir_cat_B049CT02_thumb01.png,-,"닭고기, 사과, 쌀",조단백 9.9%  조지방 0.18%  조섬유 0.11%  조회분 1.65%  수분 90.0% ,과일캔 닭고기 안심+애플,GGHA50072호
14,"키튼,어덜트,시니어,전연령",뉴로 (NULO),"3,696 kcal/kg",고양이,건사료,"칠면조, 청어, 대구, 노란완두콩, 붉은렌틸콩, 닭고기지방, 오리, 고구마, 병아리콩, 억새풀, 천연향, 아마씨, 건조치커리뿌리, 건조켈프, 건조크랜베리, 탄산칼슘, DL-메티오닌, 타우린, 아연단백질, 염화콜린, 비타민E, L-아스코르빌 -2-폴리포스페이트(비타민C공급원), 철단 백질, 니아신, 구리단백질, 티아민모노니트레이트, 판토텐산칼슘, 비타민A, 망간단백질, 피리독신 염산염, 소디움셀레나이트, 리보플라빈, 건조바실러스발효균, 유카시데게라추출물, 비타민B12, 요오드산칼슘, 엽산, 로즈마리추출물","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 5.4kg, 2.2kg 주재료 칠면조, 청어, 대구 식단정보 그레인프리,글루텐프리,비유전자변형,유산균 칼로리 3,696 kcal/kg 원산지/제조사 미국/Nulo Inc",미국/Nulo Inc,"5.4kg, 2.2kg",https://cdn.purplesto.re/media/store/sale/main_image/nulo_cat_B137CF07_thumb01.png,"그레인프리,글루텐프리,비유전자변형,유산균","칠면조, 청어, 대구",조단백 40%  조지방 18%  칼슘 1.1%  인 0.9%  수분 10%,프리스타일 그레인프리 칠면조&오리,
15,"어덜트,시니어",지위픽 (ZIWI),"5,600 kcal/kg",고양이,저온건조 사료,"양고기, 양 내장(위, 심장, 폐, 간, 신장) 및 뼈, 뉴질랜드 녹색홍합, 치커리 이눌린, 건 켈프, 천일염, 파슬리, 미네랄(마그네슘 아미노산, 아연 아미노산, 구리 아미노산, 셀레늄효모, 망간 아미노산), 타우린, 비타민(비타민 B1, 엽산, 비타민 D3), 천연 혼합 토코페롤","연령구분 어덜트,시니어 푸드타입 저온건조 사료 중량 1kg 주재료 양고기, 양 내장(위, 심장, 폐, 간, 신장) 및 뼈, 뉴질랜드 녹색홍합 식단정보 그레인프리,글루텐프리 칼로리 5,600 kcal/kg 원산지/제조사 뉴질랜드/Ziwi Ltd",뉴질랜드/Ziwi Ltd,1kg,https://cdn.purplesto.re/media/store/sale/main_image/ziwipeak_cat_B046CF14_thumb01.png,"그레인프리,글루텐프리","양고기, 양 내장(위, 심장, 폐, 간, 신장) 및 뼈, 뉴질랜드 녹색홍합",조단백 40%  조지방 38%  칼슘 1.88%  인 1.43%  수분 8.0%,에어드라이 양고기,제 서울-15608호
16,"어덜트,시니어",앱솔루트 홀리스틱 (ABSOLUTE HOLISTIC),"4,447 kcal/kg",고양이,저온건조 사료,"닭고기, 남방대구(호키), 닭 간, 식물성 글리세린, 파슬리, 건조 치커리, 초록입홍합, 염화콜린, 탄산칼슘, 켈프, 아마씨, 천연항산화제(천연혼합토코페롤, 로즈마리 추출물), 타우린, 황산제일철, 산화아연, 비타민E, 나이아신, 황산구리, 비타민B1, 아셀렌산나트륨, 황산망간, D 판토텐산칼슘, 비타민A 분말(레티놀분말), 비타민B2(리보플라빈), 비오틴, 비타민B6염산염(피리독신 염산염), 비타민B12(시아노토발라민), 요오드산 칼슘, 엽산, 비타민D3(콜레칼시페롤)","연령구분 어덜트,시니어 푸드타입 저온건조 사료 중량 500g 주재료 닭고기, 남방대구(호키), 닭 간 식단정보 그레인프리,글루텐프리 칼로리 4,447 kcal/kg 원산지/제조사 뉴질랜드/Absolute Pets International Pte, Ltd.","뉴질랜드/Absolute Pets International Pte, Ltd.",500g,https://cdn.purplesto.re/media/store/sale/main_image/absoluteholistic_cat_B103CF06_thumb03.png,"그레인프리,글루텐프리","닭고기, 남방대구(호키), 닭 간",조단백 31%  조지방 25%  칼슘 1%  인 0.5%  수분 19%,"에어드라이 닭고기&호키, 유통기한 21년 08월 27일",제 CCBZZ0008호
17,"키튼,어덜트,시니어,전연령",나우 (NOW),"3,947 kcal/kg",고양이,건사료,"뼈를 발라낸 칠면조, 감자분말, 완두콩, 감자, 건조계란, 카놀라오일, 완두콩섬유, 토마토, 천연향, 아마씨, 코코넛오일, 뼈를 발라낸 연어, 뼈를 발라낸 오리, 당근, 호박, 사과, 바나나, 블루베리, 크랜베리, 블랙베리, 파파야, 파인애플, 자몽, 렌틸콩, 브로콜리, 시금치, 코티지치즈, 알팔파 싹, 제이인산 칼슘, 자연건조 알팔파, 건조 켈프, 탄산칼슘, 인산, 염화나트륨, 레시틴, 염화칼슘, DL-메티오닌, 타우린, 건조 해초분말, 비타민합제(비타민E, L-아스코빌~ 2-폴리인산, 나이아신, 비타민A, 티아민 모노니트레이트, d-판토텐산칼슘, 염산피리독신, 리보플라빈, 베타카로틴, 비타민D3, 엽산, 비오틴, 비타민B12), 미량광물질류합제아연단백질화합물 황산제일철, 산화아연, 철단백질화합물, 황산동, 구리단백질화합물, 망간단백질화합물, 산화망간, 요오드산칼슘, 아셀 렌산나트륨), L-라이신, 건조 치커리 뿌리, 건조 락토바실러시 애시도필러스, 건조 엔테로코커스 패시움, 건조 아스퍼질러스 니게로 건조 아스퍼질러스 오리제, 효모추출물, 유카 추출물, L-카르니틴, 마리골드, 건조 로즈마리","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 3.6kg 주재료 뼈를 발라낸 칠면조, 감자분말, 완두콩 식단정보 그레인프리,글루텐프리 칼로리 3,947 kcal/kg 원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,3.6kg,https://cdn.purplesto.re/media/store/sale/main_image/now_cat_B012CF01_thumb01.png,"그레인프리,글루텐프리","뼈를 발라낸 칠면조, 감자분말, 완두콩",조단백 33%  조지방 20%  칼슘 1%  인 0.8%  수분 8%,그레인프리 키튼,제 서울-19594호
18,"키튼,어덜트,시니어,전연령",그랜마메이스 (GRANDMAMAES),"2,950 kcal/kg",고양이,건사료,"닭고기분말, 건계란, 송어분말, 천연닭간향, 닭지방, 렌틸콩, 완두분말, 타피오카, 맥아효모, 노란완두콩, 고구마, 완두단백, 건조토마토포마스, 유카시디게라추출물, 셀룰로즈파우더, 레시틴, DL-메티오닌, 탄산칼슘, L-라이신, 소금, 타우린, 비타민E보충제, 니아신, 비타민B1질산염, 염산피리독신, 리보플라빈, 아스코르빅산, 비오틴, 판토텐산D칼슘, 비타민B12보충제, 비타민A아세테이트, 비타민D3보충제, 엽산, 염화칼륨, 황산제1철, 황산아연, 아연단백화합제, 철분단백화합제, 산화망간, 아셀렌산나트륨, 요오드산칼슘 업체 제공 원재료: 치킨밀, 노란완두콩, 렌틸콩, 완두콩가루, 고구마, 닭지방(믹스토코페롤로보존), 건조 달걀, 화이트피쉬밀, 완두콩단백질, 타피오카, 천연닭간향료, 맥주효모, 섬유소가루, 건조토마토포메이스,레시틴, DL-메티오닌, 탄산칼슘, L-라이신, 소금, 타우린,, 유카시디게라추출물, 비타민E, 나이아신, 티아민, 염산피리독신, 리보플라빈, 아스코빅산, 비오틴, 판토텐산칼슘, 비타민B12, 비타민A, 비타민D3, 엽산, 염화칼륨, 황산철, 황산아연, 아연단백화합물, 철단백화합물, 황산동, 산화아연, 황산마그네슘.. 망간단백화합물, 구리단백화합물, 아셀레나트륨, 요오드화칼슘 업체 제공 원재료가 수정된 최신 정보이며 한글 라벨과 다를 수 있으니 참고해주세요.","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 5.4kg 주재료 닭고기분말, 건계란, 송어분말 식단정보 그레인프리,글루텐프리,체중조절 칼로리 2,950 kcal/kg 원산지/제조사 미국/SOUTHERN TIER PET NUTRTION. USA",미국/SOUTHERN TIER PET NUTRTION. USA,5.4kg,https://cdn.purplesto.re/media/store/sale/main_image/grandmamaes_cat_B120CF03_thumb01.png,"그레인프리,글루텐프리,체중조절","닭고기분말, 건계란, 송어분말",조단백 30%  조지방 10%  칼슘 1.15%  인 0.9%  수분 10%,그레인프리 웨이트컨트롤&헤어볼,EEGSB0043호
19,"어덜트,시니어",로우즈 (RAWZ),971 kcal/kg (66 kcal/파우치),고양이,습식사료,"닭고기, 닭고기 육수, 코코넛 오일, 타피오카 전분, 염화칼슘, 염화칼륨, 해바라기씨 오일, 소금, 염화콜린, 타우린, 말린 파슬리, 인산 삼칼슘, 미네랄 (철 아미노산 킬레이트, 망간 아미노산 킬레이트, 아연 아미노산 킬레이트, 요오드산 칼슘, 구리 아미노산 킬레이트, 마그네슘 아미노산 킬레이트, 소듐 셀레나이트), 비타민(비타민 A 보충제, 비타민 D3 보충제, 비타민 E 보충제, 비타민B1 질산염, 리보플라빈 보충제, 피리독신 염산염, 비타민 B12 보충제, 니아신 보충제, d- 칼슘 팬토테네이트, 아스코르브산 (비타민 C의 공급원), 엽산, 비오틴)","연령구분 어덜트,시니어 푸드타입 습식사료 중량 69g 주재료 닭고기, 닭고기 육수, 코코넛 오일 식단정보 검류미함유 칼로리 971 kcal/kg (66 kcal/파우치) 원산지/제조사 태국/Rawz Natural Pet Food",태국/Rawz Natural Pet Food,69g,https://cdn.purplesto.re/media/store/sale/main_image/deal_rawz_cat_B019CF0502SS_thumb01.png,검류미함유,"닭고기, 닭고기 육수, 코코넛 오일",조단백 13.84%  조지방 4.29%  칼슘 0.24%  인 0.14%  수분 82%,슈레디드 파우치 치킨 가슴살&코코넛오일,제 II6TM0009호
20,"어덜트,시니어",닥터링크 (DR.LINK),948 kcal/kg (189.6 kcal/캔),고양이,습식사료,"가금류(닭고기, 칠면조 살코기, 심장, 간, 폐, 목), 육수(가금류), 연어, 미네랄(아연,망간,일수화물), MOS(만난올리고당), FOS(프락토올리고당), 연어 오일, 해바라기 오일, 보리지 오일, 차전자피, 타피오카 4%(최대)  * 1kg당 영양보충제 함량: 비타민 D3 200IU, 비타민 E(모두 rac-알파-토코페릴 아세테이트) 30mg, 비오틴(D-(+)-비오틴): 300mcg, 아연(황산아연, 일수화물) 15mg, 망간(망간-(II)-황산염, 일수화물) 3mg, 요오드(요오드산 칼슘, 무수) 0.75mg, DL-메티오닌 20mg, 타우린 1,500mg","연령구분 어덜트,시니어 푸드타입 습식사료 중량 200g 주재료 가금류(닭고기, 칠면조), 육수(가금류), 연어 식단정보 그레인프리,글루텐프리 칼로리 948 kcal/kg (189.6 kcal/캔) 원산지/제조사 독일/Landguth Heimtiernahrung GmbH",독일/Landguth Heimtiernahrung GmbH,200g,https://cdn.purplesto.re/media/store/sale/main_image/drlink_cat_B107CF07_thumb01.png,"그레인프리,글루텐프리","가금류(닭고기, 칠면조), 육수(가금류), 연어",조단백 9.2%  조지방 5.2%  칼슘 0.23%  인 0.18%  수분 79%,"주식캔 no.34 퓨어센서티브 연어, 닭고기&칠면조",제 EE12G0001호
21,"키튼,어덜트,시니어,전연령",어딕션 (ADDICTION),"3,700 kcal/kg",고양이,건사료,"건조 연어, 감자, 타피오카, 닭 지방(혼합 토코페롤로 처리), 완두콩, 천연향, 건조 켈프, 건조 크린베리, 건조 블루베리, 건조 시금치, 건조 맥주 효모, 염화나트륨, 비타민E, 니아신(비타민 B3), 판토텐산칼슘(비타민B5), 비타민A, 비타민B1질산염, 리보플라빈, 염산피리독신(비타민 B6), 비오틴(비타민B7), 비타민B12, 비타민D3, 폴산(비타민B9), 타우린, 염화콜린, 황산마그네슘, 황산아연, 황산제일철(철분제), 탄산칼슘, 황산구리, 황산망간, 요오드산칼슘, 황산코발트, 아셀렌산나트륨, 녹차추출물, 로즈마리 추출물, 스피어민트 추출물","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 9kg, 1.8kg 주재료 건조 연어, 감자, 타피오카 식단정보 단일육류단백질,그레인프리 칼로리 3,700 kcal/kg 원산지/제조사 뉴질랜드/Addiction Food Nz Limited",뉴질랜드/Addiction Food Nz Limited,"9kg, 1.8kg",https://cdn.purplesto.re/media/store/sale/main_image/addiction_cat_B029CF02_thumb01.png,"단일육류단백질,그레인프리","건조 연어, 감자, 타피오카",조단백 30.0%  조지방 15.0%  칼슘 1.2%  인 1.0%  수분 10.0%,LID 연어,
22,"키튼,어덜트,시니어,전연령",K9 내추럴 (K9 NATURAL),"5,005 kcal/kg (3.25 kcal/트릿)",고양이,동결건조 간식,"소고기, 소의 심장, 소의 신장, 소의 간","연령구분 키튼,어덜트,시니어,전연령 푸드타입 동결건조 간식 중량 50g 주재료 소고기, 소의 심장, 소의 신장 식단정보 그레인프리,글루텐프리 칼로리 5,005 kcal/kg (3.25 kcal/트릿) 원산지/제조사 뉴질랜드/K9 Natural Foods Limited",뉴질랜드/K9 Natural Foods Limited,50g,https://cdn.purplesto.re/media/store/sale/main_image/k9natural_cat_B008CT09_thumb01.png,"그레인프리,글루텐프리","소고기, 소의 심장, 소의 신장",조단백 39.0% 조지방 35.0% 조회분 11% 수분 8.0%,소고기 헬씨바이트,제 서울-19598호
23,"어덜트,시니어",캣츠파인푸드 (CATZ FINEFOOD),965 kcal/kg,고양이,습식사료,"닭, 물, 꿩, 쌀, 유채과, 미네랄, 민들레, 달맞이꽃 오일","연령구분 어덜트,시니어 푸드타입 습식사료 중량 400g 주재료 닭, 물, 꿩 식단정보 검류미함유,비유전자변형 칼로리 965 kcal/kg 원산지/제조사 독일/Landguth Heimtiernahrung GmbH",독일/Landguth Heimtiernahrung GmbH,400g,https://cdn.purplesto.re/media/store/sale/main_image/catzfinefood_cat_B053CF02_thumb01.png,"검류미함유,비유전자변형","닭, 물, 꿩",조단백 8.6%  조지방 4%  칼슘 0.2%  인 0.15%  수분 88%,주식캔 no.15 닭고기와 꿩고기,GGHA50028호
