index,age,brand,calory,category,classification,content,detail,from_company,gram,img,info,ingredient,nutrient,title,성분등록번호
98,"키튼,어덜트,시니어,전연령",파미나 (FARMINA),"4,197 kcal/kg",고양이,건사료,"얼리지 않은 야생 멧돼지(25%), 수분을 제거한 야생 멧돼지(23%), 고구마, 얼리지 않은 뼈를 제거한 닭고기(8%), 수분을 제거한 닭고기(8%), 닭고기 지방, 수분을 제거한 달걀(2%), 얼리지 않은 청어 (2%), 수분을 제거한 청어(2%), 청어 오일, 완두콩 섬유소, 건조 당근, 건조 알팔파, 이눌린, 프락토올리고당, 이스트 추출물(만난올리고당의 원료), 건조 사과(0.5%), 건조 석류, 건조 스위트 오렌지, 건조 시금치, 차전자피(0.3%), 건조 블루베리, 소금, 건조 맥주효모, 강황(0.2%), 비타민 A, 비타민 D3, 비타민 E, 아스코르브산(수용성 비타민 C), 나이아신(수용성 비타민 B3), 판토텐산 칼슘(수용성 비타민 B5), 리보플라빈(수용성 비타민 B2), 피리독신 염산염(수용성 비타민 B6), 티아민(수용성 비타민 B1), 비오틴(수용성 비타민 H), 엽산(수용성 비타민 B9), 비타민 B12, 염화콜린, 베타카로틴, 아연 아미노산(메티오닌) 킬레이트, 망간 아미노산(메티오닌) 킬레이트, 철분 아미노산(글리신), 구리 아미노산(메티오닌) 킬레이트, DL- 메티오닌, 타우린(4000mg/kg 이상), 정제하고 가수분해한 닭 연골 (글루코사민(1200mg/kg이상)과 콘드로이틴 황산(900mg/kg이상)의 원료), 알로에 베라겔, 녹차 추출물, 로즈마리 추출물, 혼합토코페롤(천연 항산화제)","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 5kg 주재료 얼리지 않은 야생 멧돼지, 수분을 제거한 야생 멧돼지, 고구마 식단정보 그레인프리,글루텐프리,비유전자변형 칼로리 4,197 kcal/kg 원산지/제조사 이탈리아/RUSSO MANGIMI S.p.A",이탈리아/RUSSO MANGIMI S.p.A,5kg,https://cdn.purplesto.re/media/store/sale/main_image/farmina_cat_B039CF03_thumb04.png,"그레인프리,글루텐프리,비유전자변형","얼리지 않은 야생 멧돼지, 수분을 제거한 야생 멧돼지, 고구마",조단백 44%  조지방 20%  칼슘 1.1%  인 0.9%  수분 8%,그레인프리 멧돼지와 사과,제 CCBZZ0008호
99,"어덜트,시니어",캣츠파인푸드 (CATZ FINEFOOD),994 kcal/kg,고양이,습식사료,"청어, 물, 쉬림프, 호박, 알로에 베라, 미네랄, 해조류, 연어오일","연령구분 어덜트,시니어 푸드타입 습식사료 중량 400g 주재료 청어, 물, 쉬림프 식단정보 검류미함유,그레인프리,글루텐프리,비유전자변형 칼로리 994 kcal/kg 원산지/제조사 독일/Landguth Heimtiernahrung GmbH",독일/Landguth Heimtiernahrung GmbH,400g,https://cdn.purplesto.re/media/store/sale/main_image/catzfinefood_cat_B053CF01_thumb01.png,"검류미함유,그레인프리,글루텐프리,비유전자변형","청어, 물, 쉬림프",조단백 9.2%  조지방 5%  칼슘 0.2%  인 0.15%  수분 87%,주식캔 no.13 청어와 쉬림프,GGHA50028호
100,"키튼,어덜트,시니어,전연령",퓨어비타 (PUREVITA),"3,980 kcal/kg",고양이,건사료,"닭고기, 닭고기분, 완두콩, 완두콩 가루, 닭 지방, 계란분말, 천연향, 효모제(맥주 효모), 식염류, 아미노산제(DL-메치오닌), 근괴류(당근), 해바라기유, 미량광물질류합제(철, 아연, 구리, 망간, 코발트, 셀레늄), 핵과류(체리, 살구), 장과류(크랜베리, 블루베리), 근채류(치커리), 비타민합제(A, D3, E, 니아신, 판토텐산칼슘, 티아민, 리보플라빈, 엽산, 비오틴, B12, C, 콜린, 이노시톨), 생균제(락토 바실러스 애시도필러스, 바실러스서브틸리스), 유익곰팡이균(아스퍼질러스 오리제)","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 1kg 주재료 닭고기, 닭고기분, 완두콩 식단정보 그레인프리,글루텐프리 칼로리 3,980 kcal/kg 원산지/제조사 미국/Tuffy's Pet Food, Inc.","미국/Tuffy's Pet Food, Inc.",1kg,https://cdn.purplesto.re/media/store/sale/main_image/purevita_cat_B041CF01_thumb02_xNl7f0s.png,"그레인프리,글루텐프리","닭고기, 닭고기분, 완두콩",조단백 32.0%  조지방 18.0%  칼슘 1.4%  인 1.1%  수분 10.0%,그레인프리 치킨,4160000-034-2019-0001
101,"키튼,어덜트,시니어,전연령",보레알 (BOREAL),"3,459 kcal/kg",고양이,건사료,"치킨, 고구마, 메밀, 호박, 렌즈콩, 치킨지방, 말린계란, 천연향, 아마씨, 레시틴, 말린억새풀, 연어오일, 인산이칼슘, 블루베리, 크랜베리, 사과, 시금치, 염화콜린, 프로피온산칼슘, 삼인산나트륨, 탄산칼슘, 소금, 타우린, DL-메티오닌, 켈프, 효모추출물, 치커리뿌리추출물, L-라이신, L-트립토판, 크랜베리, 염화칼륨, L-카르니틴, 글루코사민, 강황뿌리, 파프리카, 녹차추출물, 푸마르산, 젖산, 구연산, 말산, 유카시데게라추출물, 콘드로이틴황산염, 백리향추출물, 산화아연, 황산제일철, 아연아미노산복합체, 철아미노산복합체, 니아신아미드, 산화망간, 비타민E, 비타민A, 판토텐산칼슘, 리보플라빈, 티아민모노니트레이트, 피리독신염산염, 구리, 구리단백질, 망간아미노산복합제, 엽산, 비타민D3, 비타민B12, 비오틴, 요오드산칼슘, 셀렌산나트륨, 로즈마리추출물.","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 100g 주재료 치킨, 고구마, 메밀 식단정보 그레인프리,글루텐프리 칼로리 3,459 kcal/kg 원산지/제조사 캐나다/Boreal Pet Foods.",캐나다/Boreal Pet Foods.,100g,https://cdn.purplesto.re/media/store/sale/main_image/boreal_cat_B050CF0502PP_thumb01.png,"그레인프리,글루텐프리","치킨, 고구마, 메밀",조단백 32%  조지방 12%  칼슘 1%  인 0.9%  수분 10%,평셔널 인도어 치킨,제 서울-19209호
102,"어덜트,시니어",나우 (NOW),"3,988 kcal/kg",고양이,건사료,"뼈를 발라낸 송어, 통건조란, 감자,완두콩, 천연맛, 카놀라유, 아마인, 코코넛오일, 뼈를 발라낸 연어, 뼈를 발라낸 청어, 탄산칼슘, 토마토, 알팔파, 사과, 당근, 고구마, 호박, 바나나, 블루베리, 크랜베리, 블랙베리, 석류, 파파야, 렌즈콩, 브로콜리, 말린 치커리뿌리, 인산, 염화나트륨, 염화칼륨, 염화콜린, 비타민합제(A, D3, E, C, B12 등), 미광량물질류합제(아연, 철, 구리 등), L-리진, L-카르티닌","연령구분 어덜트,시니어 푸드타입 건사료 중량 3.6kg 주재료 뼈를 발라낸 송어, 통건조란, 감자 식단정보 그레인프리,글루텐프리 칼로리 3,988 kcal/kg 원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,3.6kg,https://cdn.purplesto.re/media/store/sale/main_image/now_cat_B012CF04_thumb01.png,"그레인프리,글루텐프리","뼈를 발라낸 송어, 통건조란, 감자",조단백 30.0%  조지방 19.0%  칼슘 0.9%  인 0.5%  수분 10.0%,그레인프리 피쉬 어덜트,제 서울-19594호
103,"키튼,어덜트,시니어,전연령",로우즈 (RAWZ),"1,286 kcal/kg (201 kcal/캔)",고양이,습식사료,"신선한 칠면조, 신선한 칠면조 간, 칠면조 육수, 염화칼륨, 호로파 씨앗, 천연 향, 염화콜린, 소금, 채소 육수, 타우린, 아연 단백질 보충제, 철분 단백질 보충제, 니아신 화합물, 비타민E 화합물, 구리 단백질 보충제, 아셀렌산나트륨, 비타민 B1 질산염, 망간 단백질 보충제, 비타민 A 화합물, 판토텐산 칼슘, 비타민 B2 리보플라빈 화합물, 염산피리독신, 비오틴, 비타민 D3 화합물, 비타민 B12 화합물, 요오드화 에틸렌 디아민, 엽산","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식사료 중량 156g 주재료 신선한 칠면조, 신선한 칠면조 간, 칠면조 육수 식단정보 단일육류단백질,검류미함유,그레인프리 칼로리 1,286 kcal/kg (201 kcal/캔) 원산지/제조사 미국/Raws Natural Pet Food",미국/Raws Natural Pet Food,156g,https://cdn.purplesto.re/media/store/sale/main_image/deal_rawz_cat_B019CF0204ss_thumb01.png,"단일육류단백질,검류미함유,그레인프리","신선한 칠면조, 신선한 칠면조 간, 칠면조 육수",조단백 12%  조지방 9.5%  칼슘 0.48%  인 0.35%  수분 78%,96％ 캔 칠면조&칠면조간 파테,제 서울-20528호
104,"키튼,어덜트,시니어,전연령",로우즈 사시 (RAWZ SASHI),480 kcal/kg (24 kcal/파우치),고양이,습식간식,"참치, 생선 육수, 도미, 타피오카 전분","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 50g 주재료 참치, 생선 육수, 도미 식단정보 그레인프리,글루텐프리,음수량충전 칼로리 480 kcal/kg (24 kcal/파우치) 원산지/제조사 태국/Rawz Natural Pet Food",태국/Rawz Natural Pet Food,50g,https://cdn.purplesto.re/media/store/sale/main_image/deal_rawssashi_cat_B133CT0302SS_thumb01.png,"그레인프리,글루텐프리,음수량충전","참치, 생선 육수, 도미",조단백 11%  조지방 0.45%  조섬유 0.5%  조회분 0.9%  수분 87% ,참치&도미,제 VVHDR0029호
105,"키튼,어덜트,시니어,전연령",지위픽 (ZIWI),"1,250 kcal/kg",고양이,습식사료,"소고기, 수분, 소 내장(폐, 신장, 트라이프, 간) 및 뼈, 병아리콩, 뉴질랜드 녹색홍합, DL-메티오닌, 건 켈프, 미네랄(황산마그네슘, 아연아미노산, 망간아미노산, 구리아미노산), 비타민(비타민 E, 비타민 B1, 비타민 B6 염산염, 엽산, 비타민 D3), 타우린","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식사료 중량 85g 주재료 소고기, 수분, 소 내장(폐, 신장, 트라이프, 간) 및 뼈 식단정보 검류미함유,그레인프리,글루텐프리 칼로리 1,250 kcal/kg 원산지/제조사 뉴질랜드/Ziwi Ltd",뉴질랜드/Ziwi Ltd,85g,https://cdn.purplesto.re/media/store/sale/main_image/deal_ziwipeak_cat_B046CF1802SS_thumb01.png,"검류미함유,그레인프리,글루텐프리","소고기, 수분, 소 내장(폐, 신장, 트라이프, 간) 및 뼈",조단백 11%  조지방 7%  칼슘 0.48%  인 0.35%  수분 75.5%,주식캔 소고기,제 서울-15608호
106,"키튼,어덜트,시니어,전연령",뉴로 (NULO),"3,696 kcal/kg",고양이,건사료,"칠면조, 청어, 대구, 노란완두콩, 붉은렌틸콩, 닭고기지방, 오리, 고구마, 병아리콩, 억새풀, 천연향, 아마씨, 건조치커리뿌리, 건조켈프, 건조크랜베리, 탄산칼슘, DL-메티오닌, 타우린, 아연단백질, 염화콜린, 비타민E, L-아스코르빌 -2-폴리포스페이트(비타민C공급원), 철단 백질, 니아신, 구리단백질, 티아민모노니트레이트, 판토텐산칼슘, 비타민A, 망간단백질, 피리독신 염산염, 소디움셀레나이트, 리보플라빈, 건조바실러스발효균, 유카시데게라추출물, 비타민B12, 요오드산칼슘, 엽산, 로즈마리추출물","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 2.2kg 주재료 칠면조, 청어, 대구 식단정보 그레인프리,글루텐프리,비유전자변형,유산균 칼로리 3,696 kcal/kg 원산지/제조사 미국/Nulo Inc",미국/Nulo Inc,2.2kg,https://cdn.purplesto.re/media/store/sale/main_image/nulo_cat_B137CF07_thumb01.png,"그레인프리,글루텐프리,비유전자변형,유산균","칠면조, 청어, 대구",조단백 40%  조지방 18%  칼슘 1.1%  인 0.9%  수분 10%,뉴로 프리스타일 그레인프리 칠면조&오리,서울-23093호
107,"키튼,어덜트,시니어,전연령",어플라우즈 (APPLAWS),570 kcal/kg (40kcal/캔),고양이,습식간식,"참치순살, 참치육수, 미역, 익힌쌀알","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 - 주재료 참치순살, 참치육수, 미역 식단정보 검류미함유 칼로리 570 kcal/kg (40kcal/캔) 원산지/제조사 태국/MPM Products",태국/MPM Products,-,https://cdn.purplesto.re/media/store/sale/main_image/applaws_cat_B004CT44_thumb01.png,검류미함유,"참치순살, 참치육수, 미역",조단백 15.0% 조지방 4.0% 조섬유 1.0% 조회분 1.5% 수분 82.0%,습식캔 참치와 미역,제 서울 25024호
