uuid,category,brand,title,age,classification,content,nutrient,info,gram,calory,ingredient,detail,from_company,성분등록번호,img
311,고양이,베츠키친 (VET'S KITCHEN),어덜트 울트라 프레쉬 연어 ,"어덜트,시니어",건사료,"신선한 연어(60%), 건조 연어 (18%), 흰쌀, 사탕무박, 맥주 효모, 루서린(비타민K), 연어육즙 (2%), 치커리, 파슬리 (0.5%), 미네랄, 비타민, 민들레 (0.1%)",조단백 35.0%  조지방 14.0%  칼슘 0.95%  인 0.63%  수분 9.0%,단일육류단백질,770g,"3,710 kcal/kg  ","신선한 연어, 건조 연어, 흰쌀","연령구분 어덜트,시니어 푸드타입 건사료 중량 770g 주재료 신선한 연어, 건조 연어, 흰쌀 식단정보 단일육류단백질 칼로리 3,710 kcal/kg   원산지/제조사 영국/Pet's Kitchen Ltd.",영국/Pet's Kitchen Ltd.,제 서울-20528호,https://cdn.purplesto.re/media/store/sale/main_image/deal_vetskitchen_cat_B022CF0206ss_thumb01.png
312,고양이,고! (GO!),"솔루션 스킨앤코트 연어 인도어 , 유통기한 21년 06월 21일","키튼,어덜트,시니어,전연령",건사료,"뼈를 발라낸 연어, 연어분말, 완두콩, 타피오카, 닭고기분말, 렌틸콩, 닭고기 지방, 아마씨, 완두콩섬유, 천연닭고기향, 사과, 당근, 크랜베리, 건조 치커리뿌리, 인산, 염화나트륨, 건조 락토바실러스 애시도필러스, 건조 엔테로코커스 패시움, 비타민합제(비타민A, 비타민D3, 비타민E, 나이아신, L-아스코르빌-2-폴리포스페이트, 티아민 모노니트레이트, d-판토텐산칼슘, 리보플라빈, 염산피리독신, 베타카로틴, 엽산, 비오틴, 비타민 B12), 미량광물질류합제(아연단백질화합물, 철단백질화합물, 구리단백질화합물, 산화아연, 망간단백질화합물, 황산동, 요오드산칼슘, 황산제일철, 산화망간, 아셀렌산나트륨), 타우린, 염화칼륨, DL-메티오닌, 염화콜린, 건조 로즈마리, 유카 추출물",조단백 31%  조지방 14%  칼슘 1.2%  인 0.9%  수분 8%,-,100g,"4,122 kcal/kg","뼈를 발라낸 연어, 연어분말, 완두콩","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 100g 주재료 뼈를 발라낸 연어, 연어분말, 완두콩 식단정보 - 칼로리 4,122 kcal/kg 원산지/제조사 캐나다/Petcurean Pet Nutrition Inc.",캐나다/Petcurean Pet Nutrition Inc.,제 ZZR0Y0024호,https://cdn.purplesto.re/media/store/sale/main_image/go_cat_B010CF10_thumb01.png
313,고양이,오픈팜 (OPENFARM),흰살생선 ,"키튼,어덜트,시니어,전연령",건사료,"흰살생선, 병아리콩, 흰살생선분말, 완두, 렌즈콩, 청어분말, 코코넛오일(혼합토코페롤 보존), 토마토, 천연향료(건조흰살생선), 아마씨, 해바리기유, 크랜베리, 호박, 당근, 사과식초, 자연건조알파파, 치커리뿌리, 연어오일, 소금, 염화칼륨, 혼합토코페롤(천연보존제), 비타민E, 판토텐산칼슘, 나이아신, 비타민A, 비타민B2, 비타민D3, 비타민B12, 비타민B1질산염, 엽산, 염화콜린, 아연단백질화합물, 탄산칼슘, 철단백질화합물, 구리단백질화합물, 망간단백질화합물, 아셀렌산나트륨, 요오드산칼슘, 로즈마리, 타우린, 계피, 강황, 사과",조단백 41.0%  조지방 20.0%  칼슘 1.54%  인 1.18%  수분 8%,"그레인프리,글루텐프리",57g (샘플),"3,840 kcal/kg","흰살생선, 병아리콩, 흰살생선분말","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 57g (샘플) 주재료 흰살생선, 병아리콩, 흰살생선분말 식단정보 그레인프리,글루텐프리 칼로리 3,840 kcal/kg 원산지/제조사 미국/Open Farm Inc.",미국/Open Farm Inc.,CCC020024호,https://cdn.purplesto.re/media/store/sale/main_image/openfarm_cat_B123CF11_thumb01.png
314,고양이,어플라우즈 (APPLAWS),파우치 닭고기와 와일드라이스 ,"키튼,어덜트,시니어,전연령",습식간식,"닭고기(가슴살), 닭육수, 줄풀쌀",조단백 15.5% 조지방 2.0% 조섬유 0.5% 조회분 1.5% 수분 83.0%,검류미함유,70g,585 kcal/kg (40.95 kcal/파우치),"닭고기(가슴살), 닭육수, 줄풀쌀","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 70g 주재료 닭고기(가슴살), 닭육수, 줄풀쌀 식단정보 검류미함유 칼로리 585 kcal/kg (40.95 kcal/파우치) 원산지/제조사 태국/MPM Products",태국/MPM Products,제 서울-20533호,https://cdn.purplesto.re/media/store/sale/main_image/deal_applaws_cat_B004CT1640ss_thumb01.png
315,고양이,로우즈 (RAWZ),슈레디드 캔 치킨&호박 ,"키튼,어덜트,시니어,전연령",습식사료,"닭고기,닭고기 육수, 타피오카 전분, 호박, 당근, 해바라기씨 오일, 미네랄 (마그네슘 아미노산 킬레이트, 아연 아미노산 킬레이트, 철 아미노산 킬레이트, 망간 아미노산 킬레이트, 구리 아미노산 킬레이트, 칼슘 요오드, 아셀렌산 나트륨), 염화칼슘, 인산 삼칼슘, 생선 오일, 비타민 (아스코르브 산 (비타민 C의 공급원) , 비타민B1 질산염, 비타민 E 보충제, 니아신 보충제, 비타민 A 보충제, d- 칼슘 팬토테네이트, 리보플라빈 보충제, 피리독신 염산염, 엽산, 비오틴, 비타민 B12 보충제, 비타민 D3 보충제), 파슬리, 염화 콜린, 소금, 타우린, 염화칼륨",조단백 18.64%  조지방 2.09%  칼슘 0.3%  인 0.21%  수분 82%,검류미함유,85g,832 kcal/kg (71 kcal/85g 캔),"닭고기,닭고기 육수, 타피오카 전분","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식사료 중량 85g 주재료 닭고기,닭고기 육수, 타피오카 전분 식단정보 검류미함유 칼로리 832 kcal/kg (71 kcal/85g 캔) 원산지/제조사 태국/Rawz Natural Pet Food",태국/Rawz Natural Pet Food,제 II6TM0009호,https://cdn.purplesto.re/media/store/sale/main_image/deal_rawz_cat_B019CF1202SS_thumb01.png
316,고양이,어플라우즈 (APPLAWS),통살 연어 ,"키튼,어덜트,시니어,전연령",습식간식,연어,조단백 23.0% 조지방 3.5% 조회분 2.0% 수분 75.0%,검류미함유,25g,930 kcal/kg (23.25 kcal/파우치),연어,"연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 25g 주재료 연어 식단정보 검류미함유 칼로리 930 kcal/kg (23.25 kcal/파우치) 원산지/제조사 태국/MPM Products",태국/MPM Products,제 서울-22064호,https://cdn.purplesto.re/media/store/sale/main_image/deal_applaws_cat_B004CT0933ss_thumb01.png
317,고양이,헤일로 (HALO),인도어캣 그레인프리 연어&흰살생선,"어덜트,시니어",건사료,"연어, 흰살생선, 전란, 완두콩분말, 콩단백질, 타피오카전분, 감자단백질, 감자분말, 계유, 아마씨, 천연고형향미제(가수분해 가금류간, d-토코페롤(혼합형)), 황산칼슘, 프로바이오틱(효모(사카로미세스세레비시아), 바실러스코아글란스), 제이인산칼슘, 건조블루베리, 건조당근, 고구마분말, 건조크랜베리, 소금, 이눌린, 비타민제합제(비타민A, 비타민D3, 비타민E, 비타민B12, 비오틴, 엽산, 니코틴산, 판토텐산, 피리독신, 리보플라빈, 티아민), 타우린, 미량광물질류합제(아연, 철, 염화칼륨, 구리, 망간, 아셀렌산나트륨, 미네랄오일, 요오드산칼슘), 염화칼륨, 염화콜린, 비타민E, 천연산화방지제(d-토코페롤(혼합형), 로즈마리추출물), 비타민C, L-카르니틴",조단백 32.0%  조지방 13.0%  칼슘 0.6%  인 0.5%  수분 10.0%,"그레인프리,글루텐프리,비유전자변형",2.7kg,"3,550 kcal/kg","연어, 흰살생선, 전란","연령구분 어덜트,시니어 푸드타입 건사료 중량 2.7kg 주재료 연어, 흰살생선, 전란 식단정보 그레인프리,글루텐프리,비유전자변형 칼로리 3,550 kcal/kg 원산지/제조사 미국/Halo pet",미국/Halo pet,4160000-034-2019-0001,https://cdn.purplesto.re/media/store/sale/main_image/halo_cat_B044CF03_thumb01.png
318,고양이,어딕션 (ADDICTION),LID 사슴고기,"키튼,어덜트,시니어,전연령",건사료,"건조 사슴, 완두콩, 감자, 타피오카, 닭 지방(혼합 토코페롤로 처리), 아마씨, 천연향, 염화나트륨, 건조 켈프, 건조 크린베리, 건조 사과, 건조 시금치, 건조 맥주 효모, 건조 장구균, 건조 락토바실러스 아시도필루스, 건조 비피도박테리움 롱검, 건조 유산균, 비타민E, 니아신(비타민B3), 판토텐산칼슘(비타민B5), 비타민A, 비타민B1 질산염, 리보플라빈, 염산피리독신(비타민B6), 비오틴(비타민B7), 비타민B12, 비타민D3, 폴산(비타민 B9), 타우린, 염화콜린, 황산마그네슘, 황산아연, 황산제일철(철분제), 탄산칼슘, 황산구리, 황산망간, 요오드산칼슘, 황산코발트, 아셀렌산나트륨, 녹차 추출물, 로즈마리 추출물",조단백 30.0%  조지방 15.0%  칼슘 1.2%  인 1.0%  수분 10.0%,"단일육류단백질,그레인프리",1.8kg,"3,710 kcal/kg","건조 사슴, 완두콩, 감자","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 1.8kg 주재료 건조 사슴, 완두콩, 감자 식단정보 단일육류단백질,그레인프리 칼로리 3,710 kcal/kg 원산지/제조사 뉴질랜드/Addiction Food Nz Limited",뉴질랜드/Addiction Food Nz Limited,제 서울-19744호,https://cdn.purplesto.re/media/store/sale/main_image/addiction_cat_B029CF01_thumb01.png
319,고양이,로우즈 사시 (RAWZ SASHI),참치&고등어 ,"키튼,어덜트,시니어,전연령",습식간식,"참치, 생선 육수, 고등어, 타피오카 전분",조단백 12%  조지방 0.45%  조섬유 0.5%  조회분 0.9%  수분 87% ,"그레인프리,글루텐프리,음수량충전",50g,520 kcal/kg (26 kcal/파우치),"참치, 생선 육수, 고등어","연령구분 키튼,어덜트,시니어,전연령 푸드타입 습식간식 중량 50g 주재료 참치, 생선 육수, 고등어 식단정보 그레인프리,글루텐프리,음수량충전 칼로리 520 kcal/kg (26 kcal/파우치) 원산지/제조사 태국/Rawz Natural Pet Food",태국/Rawz Natural Pet Food,제 VVHDR0030호,https://cdn.purplesto.re/media/store/sale/main_image/deal_rawssashi_cat_B133CT0202SS_thumb01.png
320,고양이,뉴로 (NULO),프리스타일 그레인프리 칠면조&오리,"키튼,어덜트,시니어,전연령",건사료,"칠면조, 청어, 대구, 노란완두콩, 붉은렌틸콩, 닭고기지방, 오리, 고구마, 병아리콩, 억새풀, 천연향, 아마씨, 건조치커리뿌리, 건조켈프, 건조크랜베리, 탄산칼슘, DL-메티오닌, 타우린, 아연단백질, 염화콜린, 비타민E, L-아스코르빌 -2-폴리포스페이트(비타민C공급원), 철단 백질, 니아신, 구리단백질, 티아민모노니트레이트, 판토텐산칼슘, 비타민A, 망간단백질, 피리독신 염산염, 소디움셀레나이트, 리보플라빈, 건조바실러스발효균, 유카시데게라추출물, 비타민B12, 요오드산칼슘, 엽산, 로즈마리추출물",조단백 40%  조지방 18%  칼슘 1.1%  인 0.9%  수분 10%,"그레인프리,글루텐프리,비유전자변형,유산균","5.4kg, 2.2kg","3,696 kcal/kg","칠면조, 청어, 대구","연령구분 키튼,어덜트,시니어,전연령 푸드타입 건사료 중량 5.4kg, 2.2kg 주재료 칠면조, 청어, 대구 식단정보 그레인프리,글루텐프리,비유전자변형,유산균 칼로리 3,696 kcal/kg 원산지/제조사 미국/Nulo Inc",미국/Nulo Inc,,https://cdn.purplesto.re/media/store/sale/main_image/nulo_cat_B137CF07_thumb01.png
